タイトル,画像URL,リンク先URL
"４つのヨーガ実践セミナー","https://online.uniwa-juku.com/wp/wp-content/uploads/2025/11/628a2422-7e28-4758-bed5-2f90dd141c1d-192x108.jpg",https://online.uniwa-juku.com/live/175192
"書籍『十種神宝』実践セミナー","https://online.uniwa-juku.com/wp/wp-content/uploads/2025/10/3db723a1-d0bb-435c-9292-02cbcf4f94c2-192x108.jpg",https://online.uniwa-juku.com/live/172243
"トークイベント・新時代をどう生きるか？未来を創るゆにわの生き方","https://online.uniwa-juku.com/wp/wp-content/uploads/2025/08/むすび大学リアルセミナーサムネ-9-768x432-1-192x108.jpg",https://online.uniwa-juku.com/live/168597
"覚醒の日 ― 直感と知性が導く、新時代の生き方 ―","https://online.uniwa-juku.com/wp/wp-content/uploads/2025/07/単発セミナーのサムネ-768x432-1-192x108.png",https://online.uniwa-juku.com/live/167024
"狂言に学ぶ「丹田と姿勢」実践講座～心身の軸を整える秘訣～","https://online.uniwa-juku.com/wp/wp-content/uploads/2025/05/アートボード-3-のコピー-167-192x108.jpg",https://online.uniwa-juku.com/live/160991
"【第0回】神話創生プロジェクトセミナー","https://online.uniwa-juku.com/wp/wp-content/uploads/2025/03/神社参拝講座2024-神話創生Project-192x108.png",https://online.uniwa-juku.com/live/156518
"及川幸久さん『マネー・スイッチ』出版記念ワークショップBE INDEPENDENT","https://online.uniwa-juku.com/wp/wp-content/uploads/2025/03/アートボード-3-のコピー-156-1-192x108.jpg",https://online.uniwa-juku.com/live/155705
"最高のスタートを切るための〝立春特別セミナー〟","https://online.uniwa-juku.com/wp/wp-content/uploads/2025/02/赤　オレンジ　ビジネス　セミナー　Youtubeサムネイル-1-192x108.png",https://online.uniwa-juku.com/live/154055
"年越しライブ(2024-2025)","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/12/467460713_1613596613365519_6004739124106922564_n-1-192x108.jpg",https://online.uniwa-juku.com/live/150244
"日本人が知りたいお金の授業","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/11/完成-4-192x108.png",https://online.uniwa-juku.com/live/142377
"人生を豊かにする「強運の育て方」","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/11/462576069_519927220954312_3640626662779094255_n-192x108.png",https://online.uniwa-juku.com/live/140391
"真の「健康」とは何か？〜気血健康法の神髄〜","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/10/458218906_805139718197548_2947600754233562244_n-192x108.png",https://online.uniwa-juku.com/live/130862
"戦国時代に学ぶ崩壊寸前の日本を生き抜く知恵","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/09/535b9db9-1ceb-4e2e-9a36-8c22134b5d5b-192x108.jpg",https://online.uniwa-juku.com/live/125393
"運命の出会いを果たす～ご縁むすびの法則～","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/08/452585411_860975379278427_7984033056302195836_n-192x108.png",https://online.uniwa-juku.com/live/120680
"ゆにわの歴史と北極老人の教えとは？","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/07/448614291_366379672784968_4370174134725000421_n-192x108.jpg",https://online.uniwa-juku.com/live/109181
"今さら聞けない5次元の話","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/06/436707775_857255496433547_7470135764818269385_n-192x108.png",https://online.uniwa-juku.com/live/98557
"セミナーでは語れない裏話～エゴを乗り越える関係性～","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/06/441606402_2261328970879619_3865799661331568730_n-192x108.jpg",https://online.uniwa-juku.com/live/98620
"今まで語れなかった 北極老人の話（ゆにわ塾 ダイジェスト版）","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/04/439184981_447037824368164_5627791047912961699_n-192x108.jpg",https://online.uniwa-juku.com/live/87670
"YouTubeでは絶対に言えない話「あなたから世界を変える」","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/03/431178760_430858919449711_3595770109686856469_n-のコピー-2-192x108.jpg",https://online.uniwa-juku.com/live/76663
"【十種の神宝】第0回セミナー","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/03/432886694_318104987613425_1417420919867324368_n-192x108.png",https://online.uniwa-juku.com/live/78541
"2024年護符に隠された  霊的進化の秘密","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/03/430173812_1483684795693649_7970760704639607583_n-192x108.jpg",https://online.uniwa-juku.com/live/71893
"年越しLIVE（2023-2024）","https://online.uniwa-juku.com/wp/wp-content/uploads/2024/01/412637333_929743028487144_1781805619354310957_n-1-192x108.jpg",https://online.uniwa-juku.com/live/58723
"龍の神様の力を解き放つ、ヤマト建国の秘密","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/11/387645579_836157638061014_7653310517491497894_n-192x108.jpg",https://online.uniwa-juku.com/live/56262
"開運！手相占い","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/09/373053044_1869953803400426_8955132347781522944_n-192x108.png",https://online.uniwa-juku.com/live/54104
"インナーチャイルドを乗り越える","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/08/364216251_974086813831780_1963850479190994898_n-192x108.jpg",https://online.uniwa-juku.com/live/52295
"守護霊様に応援される秘訣","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/06/351451025_769302238080643_4666807355968775639_n-192x108.jpg",https://online.uniwa-juku.com/live/49784
"神様・仏様に愛される日本人の生き方","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/05/343561174_1949511225389521_7354257868584570698_n-192x108.jpg",https://online.uniwa-juku.com/live/48519
"神様に愛される生き方～家が神社になる住まいの整え方Ⅱ～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/339134577_3440344762920153_4196140107104336115_n-192x108.jpg",https://online.uniwa-juku.com/live/46341
"「みたましずめ」第0回セミナー","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/03/みたましずめ（第０回バナー230319）-のコピー-2-1-192x108.jpg",https://online.uniwa-juku.com/live/45617
"神様に愛される生き方～家が神社になる住まいの整え方～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/02/339648704_252940817129504_7412608898901404083_n-192x108.jpg",https://online.uniwa-juku.com/live/45014
"神様に愛される生き方～2023年の開運エネルギーを呼びこもう～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/grandseminar-22-192x108.png",https://online.uniwa-juku.com/live/43996
"神様に愛される生き方～直観力が目覚める浄化習慣～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/grandseminar-24-192x108.png",https://online.uniwa-juku.com/live/42462
"神様に愛される生き方～願いが叶う神社参拝～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/grandseminar-18-192x108.png",https://online.uniwa-juku.com/live/42025
"神様に愛される生き方～美容と健康のウソ・ホント～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/grandseminar-21-192x108.png",https://online.uniwa-juku.com/live/40351
"神様に愛される生き方～神体づくり～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/grandseminar-15-192x108.png",https://online.uniwa-juku.com/live/39601
"神様に愛される生き方～お金の授業～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/grandseminar-16-192x108.png",https://online.uniwa-juku.com/live/39089
"神様に愛される生き方～開運！六龍法占い～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/grandseminar-19-192x108.png",https://online.uniwa-juku.com/live/37779
"神様に愛される生き方～しあわせ開運ごはん～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/grandseminar-20-192x108.png",https://online.uniwa-juku.com/live/37180
"神様に愛される生き方～しあわせな人生ストーリーの作り方～","https://online.uniwa-juku.com/wp/wp-content/uploads/2023/04/grandseminar-17-192x108.png",https://online.uniwa-juku.com/live/38557
"【半年講座セミナー】第0回「最澄と空海の秘法」【編集版】","https://online.uniwa-juku.com/wp/wp-content/uploads/2022/04/sk22-after-1-3-192x108.jpg",https://online.uniwa-juku.com/live/36227
